연,월,도,시군구,월별 수요량
2022,03,울산,동구,7436
2022,03,울산,북구,21266
2022,03,울산,울주군,24811
2022,03,울산,중구,15412
2022,03,인천,강화군,6293
2022,03,인천,계양구,12982
2022,03,인천,남동구,23037
2022,03,인천,동구,1668
2022,03,인천,미추홀구,70630
2022,03,인천,부평구,20743
2022,03,인천,서구,42132
2022,03,인천,연수구,26141
2022,03,인천,옹진군,618
2022,03,인천,중구,14938
2022,03,전남,강진군,7178
2022,03,전남,고흥군,13599
2022,03,전남,곡성군,12005
2022,03,전남,광양시,34198
2022,03,전남,구례군,2837
2022,03,전남,나주시,23870
2022,03,전남,담양군,4783
2022,03,전남,목포시,14903
2022,03,전남,무안군,21366
2022,03,전남,보성군,16164
2022,03,전남,순천시,73016
2022,03,전남,신안군,3588
2022,03,전남,여수시,42950
2022,03,전남,영광군,9514
2022,03,전남,영암군,11239
2022,03,전남,완도군,6990
2022,03,전남,장성군,13005
2022,03,전남,장흥군,3241
2022,03,전남,진도군,2202
2022,03,전남,함평군,13284
2022,03,전남,해남군,6951
2022,03,전남,화순군,17075
2022,03,전북,고창군,28700
2022,03,전북,군산시,21842
2022,03,전북,김제시,22359
2022,03,전북,남원시,30843
2022,03,전북,무주군,14325
2022,03,전북,부안군,13768
2022,03,전북,순창군,14904
2022,03,전북,완주군,56514
2022,03,전북,익산시,19543
2022,03,전북,임실군,20083
2022,03,전북,장수군,9182
2022,03,전북,전주시,115238
2022,03,전북,정읍시,23002
2022,03,전북,진안군,8676
2022,03,제주,서귀포시,294475
2022,03,제주,제주시,476711
2022,03,충남,계룡시,14308
2022,03,충남,공주시,63783
2022,03,충남,금산군,13716
2022,03,충남,논산시,39043
2022,03,충남,당진시,32052
2022,03,충남,보령시,25690
2022,03,충남,부여군,19822
2022,03,충남,서산시,16245
2022,03,충남,서천군,21801
2022,03,충남,아산시,57199
2022,03,충남,예산군,37909
2022,03,충남,천안시,140741
2022,03,충남,청양군,3366
2022,03,충남,태안군,14301
2022,03,충남,홍성군,28062
2022,03,충북,괴산군,26870
2022,03,충북,단양군,23331
2022,03,충북,보은군,17548
2022,03,충북,영동군,21170
2022,03,충북,옥천군,36606
2022,03,충북,음성군,23488
2022,03,충북,제천시,12575
2022,03,충북,증평군,3605
2022,03,충북,진천군,16067
2022,03,충북,청주시,157757
2022,03,충북,충주시,62467
2022,04,강원,강릉시,25929
2022,04,강원,고성군,6107
2022,04,강원,동해시,19569
2022,04,강원,삼척시,12039
2022,04,강원,속초시,22712
2022,04,강원,양구군,11363
2022,04,강원,양양군,13872
2022,04,강원,영월군,4152
2022,04,강원,원주시,66666
2022,04,강원,인제군,30122
2022,04,강원,정선군,10241
2022,04,강원,철원군,11209
2022,04,강원,춘천시,46301
2022,04,강원,태백시,5964
2022,04,강원,평창군,30014
2022,04,강원,홍천군,33356
2022,04,강원,화천군,5369
2022,04,강원,횡성군,24094
2022,04,경기,가평군,36081
2022,04,경기,고양시,39723
2022,04,경기,과천시,8514
2022,04,경기,광명시,45813
2022,04,경기,광주시,20282
2022,04,경기,구리시,12550
2022,04,경기,군포시,6775
2022,04,경기,김포시,21579
2022,04,경기,남양주시,43284
2022,04,경기,동두천시,2082
2022,04,경기,부천시,48931
2022,04,경기,성남시,54045
2022,04,경기,수원시,34097
2022,04,경기,시흥시,33794
2022,04,경기,안산시,78732
2022,04,경기,안성시,42676
2022,04,경기,안양시,14127
2022,04,경기,양주시,34577
2022,04,경기,양평군,16001
2022,04,경기,여주시,43997
2022,04,경기,연천군,1176
2022,04,경기,오산시,14352
2022,04,경기,용인시,15451
2022,04,경기,의왕시,6885
2022,04,경기,의정부시,5105
2022,04,경기,이천시,25163
2022,04,경기,파주시,14150
2022,04,경기,평택시,36751
2022,04,경기,포천시,16628
2022,04,경기,하남시,77748
2022,04,경기,화성시,31454
2022,04,경남,거제시,24076
2022,04,경남,거창군,21892
2022,04,경남,고성군,11998
2022,04,경남,김해시,74875
2022,04,경남,남해군,10146
2022,04,경남,밀양시,12335
2022,04,경남,사천시,27088
2022,04,경남,산청군,13191
2022,04,경남,양산시,63562
2022,04,경남,의령군,3594
2022,04,경남,진주시,41192
2022,04,경남,창녕군,14578
2022,04,경남,창원시,69368
2022,04,경남,통영시,11820
2022,04,경남,하동군,5913
2022,04,경남,함안군,28153
2022,04,경남,함양군,17320
2022,04,경남,합천군,3874
2022,04,경북,경산시,49515
2022,04,경북,경주시,90712
2022,04,경북,고령군,16195
2022,04,경북,구미시,91100
2022,04,경북,군위군,44836
2022,04,경북,김천시,37816
2022,04,경북,문경시,44213
2022,04,경북,봉화군,11063
2022,04,경북,상주시,21481
2022,04,경북,성주군,35929
2022,04,경북,안동시,37003
2022,04,경북,영덕군,14302
2022,04,경북,영양군,5535
2022,04,경북,영주시,13441
2022,04,경북,영천시,42986
2022,04,경북,예천군,13116
2022,04,경북,울릉군,0
2022,04,경북,울진군,15981
2022,04,경북,의성군,29067
2022,04,경북,청도군,23967
2022,04,경북,청송군,19414
2022,04,경북,칠곡군,71970
2022,04,경북,포항시,72568
2022,04,광주,광산구,37749
2022,04,광주,남구,111377
2022,04,광주,동구,11800
2022,04,광주,북구,23965
2022,04,광주,서구,24928
2022,04,대구,남구,13982
2022,04,대구,달서구,59264
2022,04,대구,달성군,73173
2022,04,대구,동구,17437
2022,04,대구,북구,79580
2022,04,대구,서구,2184
2022,04,대구,수성구,246136
2022,04,대구,중구,3845
2022,04,대전,대덕구,33376
2022,04,대전,동구,15669
2022,04,대전,서구,77828
2022,04,대전,유성구,53558
2022,04,대전,중구,23400
2022,04,부산,강서구,8711
2022,04,부산,금정구,8317
2022,04,부산,기장군,46357
2022,04,부산,남구,1671
2022,04,부산,동래구,6781
2022,04,부산,부산진구,182805
2022,04,부산,북구,8606
2022,04,부산,사상구,10510
2022,04,부산,사하구,6877
2022,04,부산,수영구,8191
2022,04,부산,연제구,10583
2022,04,부산,영도구,2965
2022,04,부산,중구,7779
2022,04,부산,해운대구,8422
2022,04,서울,강남구,38921
2022,04,서울,강동구,8253
2022,04,서울,강북구,4415
2022,04,서울,강서구,14219
2022,04,서울,관악구,30359
2022,04,서울,광진구,8775
2022,04,서울,구로구,5816
2022,04,서울,금천구,11646
2022,04,서울,노원구,22900
2022,04,서울,도봉구,13920
2022,04,서울,동대문구,6932
2022,04,서울,동작구,5901
2022,04,서울,마포구,36163
2022,04,서울,서대문구,8545
2022,04,서울,서초구,24039
2022,04,서울,성동구,43915
2022,04,서울,성북구,6879
2022,04,서울,송파구,22329
2022,04,서울,양천구,34554
2022,04,서울,영등포구,41886
2022,04,서울,용산구,7509
2022,04,서울,은평구,18413
2022,04,서울,종로구,14896
2022,04,서울,중구,6530
2022,04,서울,중랑구,13880
2022,04,세종,세종시,34759
2022,04,울산,남구,48122
2022,04,울산,동구,7381
2022,04,울산,북구,21534
2022,04,울산,울주군,24609
2022,04,울산,중구,15162
2022,04,인천,강화군,6275
2022,04,인천,계양구,12951
2022,04,인천,남동구,23907
2022,04,인천,동구,1949
2022,04,인천,미추홀구,73858
2022,04,인천,부평구,20980
2022,04,인천,서구,43890
2022,04,인천,연수구,26671
2022,04,인천,옹진군,516
2022,04,인천,중구,15398
2022,04,전남,강진군,7318
2022,04,전남,고흥군,15090
2022,04,전남,곡성군,11875
2022,04,전남,광양시,34493
2022,04,전남,구례군,2621
2022,04,전남,나주시,23257
2022,04,전남,담양군,4799
2022,04,전남,목포시,14322
2022,04,전남,무안군,21540
2022,04,전남,보성군,15596
2022,04,전남,순천시,74662
2022,04,전남,신안군,3629
2022,04,전남,여수시,42907
2022,04,전남,영광군,9673
2022,04,전남,영암군,11572
2022,04,전남,완도군,7444
2022,04,전남,장성군,12694
2022,04,전남,장흥군,3354
2022,04,전남,진도군,2324
2022,04,전남,함평군,13080
2022,04,전남,해남군,7009
2022,04,전남,화순군,17072
2022,04,전북,고창군,28322
2022,04,전북,군산시,21739
2022,04,전북,김제시,22567
2022,04,전북,남원시,32628
2022,04,전북,무주군,15737
2022,04,전북,부안군,13791
2022,04,전북,순창군,14465
2022,04,전북,완주군,58749
2022,04,전북,익산시,19572
2022,04,전북,임실군,20080
2022,04,전북,장수군,9412
2022,04,전북,전주시,120266
2022,04,전북,정읍시,23733
2022,04,전북,진안군,8523
2022,04,제주,서귀포시,304064
2022,04,제주,제주시,472152
2022,04,충남,계룡시,14401
2022,04,충남,공주시,66875
2022,04,충남,금산군,13966
